ban chuc	We (tieng tu xung cua quan lai)
ban co	Chessboard
ban co	thanh phan ban co Poor peasant and farm hand stock
ban co nong	Poor peasants and farm hands
ban cong	Balcony
ban cong khai	"Semi-public, semi-official"
ban cu	Old friend
ban cung	"Destitude, abjectly poor"
ban cung hoa	"To impoverish to the utmost, to pauperize"
ban cung hoa	"Impoverish to the utmost, pauperize"
ban cung hoa	"To impoverish to the utmost, to pauperize"
ban cung hoa	"Impoverish to the utmost, pauperize"
ban cuoc	Hoeblade-shaped
ban dan	"Transistorized, semi-conducting"
ban dan thien ha	"Everyone, everywhere"
ban dao	to hawk; to peddle
ban dao	Peninsula
ban dao	This humble hermit
ban dap	Stirrup
ban dau	At first; Initial
ban dau gia	Sell by auction
ban dem	By night; in the night time
ban den	Opium-tray
ban dia	"Native, indigenous"
ban dinh	To decide by discussion
ban do	Map
ban do hoc	Cartography
ban do luu thong	Traffic map
ban doanh	Headquarters
ban doc	Reading table
ban doc	Reader
ban doi	"Companion (for life), wife or husband (sharing the same life for good and for bad)"
ban duc	Stereotype
ban dung	To sell someone down the river
ban duong	Fellow traveller
ban ghe	Furniture
ban giam khao	Examining body
ban giao	"To transfer, to hand over (office..)"
ban giay	"Writing table, desk"
ban goc	Original
ban han	Destitute
ban hang	Fellow trader
ban hanh	"To promulgate, to enforce"
ban hat	chant; song
ban hoan	"(cu) Be anxious, be worried"
ban hoc	School-fellow; class-mate' fellow-student
ban huu	Friends
ban huyet	Anaemia
ban in	Printing
ban in thu	Proof
ban ke	Inventory
ban kem	Zincograph
ban ket	Semi-final
ban khai	Half-civilized
ban khen	"To felicitate, to commend, to congratulate, to praise"
ban khoan	"In a divided mind, in two minds"
ban kich	play; drama
ban kinh	Radius
ban la	Iron
ban lai	(cu) Original
ban lang	Mountain hamlets and villages
ban lanh	capacity; ability; fundamental; stuff
ban le	Hinge
ban le	Sell (by) retail
ban linh	"Skill and spirit combined, stuff"
ban long	Jelly (glue) made from antlers
ban long	Sweetheart
ban long	worried; anxious
ban luan	To discuss
ban lui	Argue to refuse (to do something); argue somebody out of doing something
ban mai	Early morning
ban mang	At the risk of one's life
ban manh	To hold private discussions
ban menh	"One's lot, one's fate, one's fortune"
ban minh	To have menses
ban mo	(y hoc) Operating table
ban nam ban nu	Bisexul
ban nang	Instinct
ban nay	"A little while ago, just now"
ban nga	"Ego, self"
ban ngay	In the day-time; hyday; during the day
ban ngu	"Native language, vernacular"
ban nguyen am	Semi-vowel
ban nguyet	"Half-circle, semi-circle"
ban nguyet san	"Bimonthly, fortnightly"
ban nhap	Draft
ban nien	Semestrial
ban non	To sell (crops) in ears (at cheap price)
ban nong	"Poor peasant, land-hungry peasant"
ban on	"To bestow favours, to grant a boon (a favour)"
ban pha	"To strafe, to bombard"
ban phat	To distribute; to dispense
ban phim	Keyboard
ban phong kien	Semi-feudal
ban phu am	Semi-consonant
ban phuoc	To bless
ban quan	One's native place
ban quan su	Paramilitary
ban quyen	copyright
ban ra	"Dissuade from, talk somebody out of doing something"
ban rao	To cry
ban ren	(ky thuat) Srew-cutter
ban sac	"Colour, character"
ban sang	"This morning, in the morning"
ban sao	"copy, duplicate"
ban si	This humble scholar
ban so	"Beginning stage, outset"
ban soan	"To discuss and arrange, to discuss and organize"
ban son dia	half-mountain half-plain
ban tam	Intention
ban tam	"Worry, be worried; be disturbed"
ban tan	To discuss in a widespread and inconclusive way
ban tang	"To award, to grant"
ban tang	"This humble monk, this humble bonze"
ban tay	Hand
ban thach	"vung nhu ban thach Rock-like, rock-steady"
ban tham	Blotter
ban tham	(vat ly) Semi-permeable
ban than	Self
ban than	Bust; half-length
ban than	"Intimate friend, close friend, bosom friend"
ban than	"Haggard, worried"
ban thanh pham	Semi-finished product
ban thao	Manuscript
ban thao	Sell out
ban the	Essence
ban the hoc	Ontology
ban thiu	"Dirty, mean"
ban tho	Altar
ban thu	(cu) Hierarhy
ban thuong	"To reward, to grant a reward to, to bestow a reward on"
ban tia	snipe
ban tien	"Poor, poverty-stricken"
ban tieng	To send word (through an intermediary)
ban tin	News-letter
ban tin	to spread the news
ban tin ban nghi	to remain undecided; to be doubtful
ban tinh	Abacus
ban tinh	"Inherent character, innate nature"
ban tinh	Testy; irascible
ban toa	Buttock
ban tom tat	Summary; synopsis
ban trieu	Ruling dynasty
ban tron	Round-table
ban trua	"Midday, noon, at noon"
ban tu dong	Semi-automatic
ban van	text
ban vang	"Very dear friend, chum"
ban vi	Standard
ban vi chu nghia	Regionalistic
ban xoa	Plasterer's hawk
ban xoi	To leave one's native country (without hope to return)
ban xon	Sell for a clearance
ban xu	"(dung phu sau danh tu) Indigenous country, native country"
ban y thuc	Semi-consciousness
bang	State
bang	"Malabar almond tree, Indian almond, tropical almond, almendron"
bang	Board
bang	Ascites
bang	Ice
bang	"Eagle, hero in his element"
bang	"Not heard from, without news"
bang an	well; safe
bang bac	"Teem, overflow"
bang ban	Even and uniform
bang bo	"To use profanities towards, to profane"
bang bo	"To dress, to dress the wounds of"
bang ca	Stretcher
bang cap	Diploma
bang chan	"(cung Bang chan nhu vai, binh chan nhu vai) Remain unconcerned (while others are in distress)"
bang chung	"Evidence, proof, exhibit"
bang chuyen	Conveyor belt
bang co	"Evidence, proof"
bang cu	"To rely on the strength of, to base oneself on"
bang danh du	Honour list
bang den	Blackboard
bang dia	Levelled to (with) the ground; razed
bang diem	Freezing point
bang duong	Glacial ocean
bang gia	"Freeze, frost"
bang giao	To entertain international relations
bang ha	Glacier
bang ha hoc	Glaciology
bang he	Collateral line
bang hieu	Sign plate; shop sign
bang hoang	"Stunned, stupefied"
bang huu	Friends
bang huyet	(to have a) metrorrhagia
bang keo	sticking-plaster
bang khong	"Otherwise, [or] else"
bang khuang	Dazed with longing (grief...)
bang lang	"Dusky, dim"
bang long	"Satisfied, content, agreeable"
bang mau	Palette (of painter)
bang nao	"To what extent, how"
bang nguyen	Icefeil
bang nhan	First-rank doctorate second laureate (in Court feudal competition examination)
bang nhan	Matchmaker
bang nhang	"To behave like a bumble, to fuss"
bang nhu	(tieng dia phuong) If; otherwise
bang phang	Even and flat
bang phien	"Moth-ball, naphthalene"
bang quan	To look on (with indifference)
bang quang	Bladder
bang quo	Vague
bang sac	Royal diplomas and certificates
